"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2022","1,140.00","1,140.00","1,140.00","1,140.00","","-1.30%"
"05/11/2022","1,155.00","1,155.00","1,155.00","1,155.00","","-1.03%"
"05/10/2022","1,167.00","1,167.00","1,167.00","1,167.00","","0.60%"
"05/09/2022","1,160.00","1,160.00","1,160.00","1,160.00","","-0.17%"
"05/06/2022","1,162.00","1,162.00","1,162.00","1,162.00","","-1.69%"
"05/05/2022","1,182.00","1,182.00","1,182.00","1,182.00","","-3.59%"
"05/04/2022","1,226.00","1,226.00","1,226.00","1,226.00","","-0.57%"
"05/03/2022","1,233.00","1,233.00","1,233.00","1,233.00","","-1.60%"
"04/29/2022","1,253.00","1,253.00","1,253.00","1,253.00","","0.64%"
"04/28/2022","1,245.00","1,245.00","1,245.00","1,245.00","","0.89%"
"04/27/2022","1,234.00","1,234.00","1,234.00","1,234.00","","-4.78%"
"04/26/2022","1,296.00","1,296.00","1,296.00","1,296.00","","-6.22%"
"04/25/2022","1,382.00","1,382.00","1,382.00","1,382.00","","-5.67%"
"04/22/2022","1,465.00","1,465.00","1,465.00","1,465.00","","-3.49%"
"04/21/2022","1,518.00","1,518.00","1,518.00","1,518.00","","-4.47%"
"04/20/2022","1,589.00","1,589.00","1,589.00","1,589.00","","-5.42%"
"04/19/2022","1,680.00","1,680.00","1,680.00","1,680.00","","-1.98%"
"04/14/2022","1,714.00","1,714.00","1,714.00","1,714.00","","-0.81%"
"04/13/2022","1,728.00","1,728.00","1,728.00","1,728.00","","-0.92%"
"04/12/2022","1,744.00","1,744.00","1,744.00","1,744.00","","0.81%"
"04/11/2022","1,730.00","1,730.00","1,730.00","1,730.00","","3.16%"
"04/08/2022","1,677.00","1,677.00","1,677.00","1,677.00","","1.45%"
"04/07/2022","1,653.00","1,653.00","1,653.00","1,653.00","","6.85%"
"04/06/2022","1,547.00","1,547.00","1,547.00","1,547.00","","5.31%"
"04/05/2022","1,469.00","1,469.00","1,469.00","1,469.00","","7.30%"
"04/04/2022","1,369.00","1,369.00","1,369.00","1,369.00","","3.63%"
"04/01/2022","1,321.00","1,321.00","1,321.00","1,321.00","","3.28%"
"03/31/2022","1,279.00","1,279.00","1,279.00","1,279.00","","4.58%"
"03/30/2022","1,223.00","1,223.00","1,223.00","1,223.00","","5.16%"
"03/29/2022","1,163.00","1,163.00","1,163.00","1,163.00","","1.93%"
"03/28/2022","1,141.00","1,141.00","1,141.00","1,141.00","","2.61%"
"03/25/2022","1,112.00","1,112.00","1,112.00","1,112.00","","1.74%"
"03/24/2022","1,093.00","1,093.00","1,093.00","1,093.00","","0.00%"
"03/23/2022","1,093.00","1,093.00","1,093.00","1,093.00","","0.09%"
"03/22/2022","1,092.00","1,092.00","1,092.00","1,092.00","","-1.18%"
"03/21/2022","1,105.00","1,105.00","1,105.00","1,105.00","","-1.95%"
"03/18/2022","1,127.00","1,127.00","1,127.00","1,127.00","","-8.00%"
"03/17/2022","1,225.00","1,225.00","1,225.00","1,225.00","","-3.39%"
"03/16/2022","1,268.00","1,268.00","1,268.00","1,268.00","","-0.86%"
"03/15/2022","1,279.00","1,279.00","1,279.00","1,279.00","","-1.39%"
"03/14/2022","1,297.00","1,297.00","1,297.00","1,297.00","","-1.14%"
"03/11/2022","1,312.00","1,312.00","1,312.00","1,312.00","","-1.58%"
"03/10/2022","1,333.00","1,333.00","1,333.00","1,333.00","","-1.19%"
"03/09/2022","1,349.00","1,349.00","1,349.00","1,349.00","","-5.27%"
"03/08/2022","1,424.00","1,424.00","1,424.00","1,424.00","","-6.13%"
"03/07/2022","1,517.00","1,517.00","1,517.00","1,517.00","","2.92%"
"03/04/2022","1,474.00","1,474.00","1,474.00","1,474.00","","-1.54%"
"03/03/2022","1,497.00","1,497.00","1,497.00","1,497.00","","2.11%"
"03/02/2022","1,466.00","1,466.00","1,466.00","1,466.00","","1.17%"
"03/01/2022","1,449.00","1,449.00","1,449.00","1,449.00","","7.89%"
"02/28/2022","1,343.00","1,343.00","1,343.00","1,343.00","","17.09%"
"02/25/2022","1,147.00","1,147.00","1,147.00","1,147.00","","26.88%"
"02/24/2022","904.00","904.00","904.00","904.00","","24.69%"
